"","V1","V2","V3","V4"
"39817","casent0901914","88.5338904363974","74.3486536675952","70.1750232126277"
"39818","casent0901915","72.9021190716448","68.6115035317861","68.1200807265388"
"39819","casent0901905","86.3203841117416","80.8171104321257","77.3963334788302"
"39820","casent0901888","92.4050793650794","86.4206349206349","86.5406349206349"
"39821","casent0901858","76.3507331378299","72.5818181818182","70.1519061583578"
"39822","casent0901861","99.1767676767677","91.6893939393939","78.9444444444444"
"39823","casent0901896","143.007331378299","106.046187683284","91.2434017595308"
"39824","casent0901874","101.374768089054","99.0454545454545","93.2560296846011"
"39825","casent0901900","107.965794768612","92.2929577464789","92.3545271629779"
"39826","casent0901916","93.0166046378471","83.2467792728314","79.0752934440309"
"39827","casent0901917","79.4612244897959","76.4789115646258","75.943537414966"
"39828","casent0901918","180.776828110161","143.441120607787","110.348053181387"
"39829","casent0901981","109.822905027933","90.5715083798883","75.8262569832402"
"39830","casent0901982","145.13468013468","120.733044733045","95.8763828763829"
"39831","casent0901940","86.8686382393398","84.8844566712517","82.3404401650619"
"39832","casent0901943","138.125850340136","110.497448979592","79.5714285714286"
"39833","casent0901924","156.657741559953","118.254365541327","85.6845168800931"
"39834","casent0901925","120.013612950699","104.811258278146","93.3318616629875"
"39835","casent0901979","96.3814389101745","86.1949765857812","83.3644103873989"
"39836","casent0901947","127.75956284153","100.748633879781","73.5378610460578"
"39837","casent0901938","99.7923875432526","80.6114681166584","71.0103806228374"
"39838","casent0901969","192.244578920827","135.937468482098","91.48764498235"
"39839","casent0902009","115.048412285268","86.2613222280063","74.1561686621551"
"39840","casent0902010","96.8043925875086","89.5888812628689","84.0089224433768"
"39841","casent0902011","134.107476635514","110.752336448598","84.2283878504673"
"39842","casent0902023","81.623606557377","72.7488524590164","69.7147540983607"
"39843","casent0902024","73.339593114241","66.0203442879499","63.9170579029734"
"39844","casent0901999","119.132401862941","90.896872920825","80.5795076513639"
"39845","casent0902001","119.945130993574","94.5739001482946","87.717251606525"
"39846","casent0902006","132.718037661051","101.307730426165","76.9355797819623"
"39847","casent0902041","98.931833674165","82.2358554873892","77.0483980913429"
"39848","casent0902014","88.5530169888694","84.3708260105448","84.3397773872291"
"39849","casent0902017","105.848265895954","83.7456647398844","74.0910404624277"
"39850","casent0902080","97.1202046035806","64.3171355498721","50.2685421994885"
"39851","casent0902081","123.81127129751","93.7916120576671","70.4705111402359"
"39852","casent0902082","125.372394366197","96.0574647887324","76.7092957746479"
"39853","casent0902088","117.685069008783","87.469887076537","74.9071518193225"
"39854","casent0902089","127.091418956814","90.9209197980931","60.0959057767807"
"39855","casent0902067","116.419568822554","87.8667772249862","73.800442233278"
"39856","casent0902079","120.288765088208","94.780408542247","84.0831012070566"
